lr,epochs,batch_size,hidden_dropout_prob,best_dev_acc,best_dev_f1,test_acc,test_f1,train_time_s
1e-05,10,64,0.3,0.4223,0.3936,0.4149,0.3632,109.0
2e-05,10,64,0.3,0.4114,0.3975,0.391,0.3601,129.4
5e-05,10,64,0.3,0.4078,0.3673,0.4068,0.3715,173.8
1e-05,10,64,0.1,0.4051,0.378,0.3923,0.3677,108.7
5e-05,5,64,0.3,0.4051,0.37,0.4081,0.4056,72.2
5e-05,10,64,0.1,0.4051,0.3809,0.3729,0.3579,162.5
2e-05,5,64,0.1,0.4024,0.3869,0.386,0.378,54.5
2e-05,5,64,0.3,0.4024,0.3218,0.4199,0.388,54.6
2e-05,10,64,0.1,0.4024,0.3869,0.3946,0.3881,115.5
5e-05,5,64,0.1,0.3978,0.3563,0.3869,0.3897,61.4
1e-05,5,64,0.1,0.396,0.341,0.4271,0.3582,54.8
1e-05,5,64,0.3,0.396,0.3157,0.4226,0.326,54.8
